"";"Precipitacion";"Temp_Aire_med";"Temp_Aire_max";"Temp_Aire_min";"Temp_Rocio_med";"Humedad_med";"Presion_Atm_med";"Insolacion";"Evaporacion";"semana"
"46";"0,6";"28,9";"33,0";"23,2";"24,4";"77";"1001";"6,2";"0,6";7
"47";"0,0";"30,6";"34,0";"24,3";"22,6";"64";"998";"11,0";"0,0";7
"48";"0,0";"30,2";"35,0";"24,4";"21,6";"62";"995";"11,3";"0,0";7
"49";"0,0";"31,7";"35,0";"25,0";"22,3";"59";"996";"11,2";"0,0";7
"50";"0,0";"29,6";"34,5";"25,3";"23,7";"71";"999";"5,7";"0,0";8
"51";"0,0";"31,9";"35,5";"25,6";"22,6";"59";"1002";"11,0";"0,0";8
"52";"0,0";"32,4";"37,2";"25,0";"22,5";"57";"1000";"s/d";"0,0";8
"53";"19,7";"33,1";"36,8";"25,4";"22,0";"53";"998";"s/d";"19,7";8
"54";"9,1";"29,7";"33,8";"23,0";"23,0";"68";"998";"s/d";"9,1";8
"55";"0,0";"28,8";"33,0";"22,3";"22,2";"70";"998";"s/d";"0,0";8
"56";"0,5";"28,0";"33,5";"22,5";"0,0";"s/d";"s/d";"s/d";"s/d";8
"57";"5,6";"28,0";"33,0";"23,0";"0,0";"s/d";"s/d";"s/d";"14,0";9
"58";"15,9";"29,3";"34,6";"23,9";"sd";"s/d";"s/d";"s/d";"9,5";9
"59";"0,6";"26,7";"29,0";"24,8";"23,0";"81";"995";"s/d";"s/d";9
"63";"0,0";"29,6";"33,5";"24,1";"23,0";"69";"992";"s/d";"0,0";9
"64";"0,0";"30,5";"34,5";"23,6";"23,4";"68";"993";"s/d";"0,0";9
"65";"49,2";"31,9";"35,0";"26,2";"23,7";"63";"994";"s/d";"49,2";9
"66";"1,6";"26,3";"29,5";"23,2";"24,7";"91";"993";"s/d";"1,6";9
"67";"0,0";"27,3";"30,5";"24,6";"23,3";"79";"994";"s/d";"0,0";10
"68";"0,0";"29,4";"33,9";"23,2";"23,8";"72";"997";"s/d";"0,0";10
"69";"0,0";"30,6";"35,1";"25,0";"24,3";"70";"998";"9,0";"0,0";10
"70";"0,0";"31,7";"35,1";"25,6";"24,3";"66";"994";"10,5";"0,0";10
"71";"0,0";"31,6";"36,2";"27,9";"22,4";"59";"991";"s/d";"0,0";10
"72";"6,2";"27,7";"32,5";"27,6";"22,8";"75";"997";"2,9";"6,2";10
"73";"0,0";"29,8";"35,0";"24,2";"24,3";"73";"995";"7,0";"0,0";10
"74";"6,5";"28,1";"30,0";"26,2";"21,3";"79";"1000";"2,2";"6,5";11
"75";"0,0";"20,7";"27,0";"17,0";"13,3";"63";"1002";"10,2";"0,0";11
"76";"0,0";"24,7";"31,0";"14,2";"15,8";"59";"999";"10,0";"0,0";11
"77";"14,6";"30,3";"36,1";"21,5";"22,7";"65";"995";"9,8";"14,6";11
"78";"1,1";"25,3";"29,0";"21,6";"18,4";"86";"1001";"0,0";"1,1";11
"79";"0,0";"21,4";"26,0";"18,0";"14,6";"67";"1005";"7,7";"0,0";11
"80";"0,0";"21,8";"27,0";"14,2";"14,2";"64";"1004";"10,2";"0,0";11
"81";"0,0";"24,7";"30,5";"16,8";"19,3";"73";"1002";"s/d";"0,0";12
"82";"0,0";"23,0";"26,5";"19,5";"20,2";"68";"1003";"10,0";"0,0";12
"83";"0,0";"27,8";"32,5";"20,2";"19,2";"61";"1004";"10,2";"0,0";12
"84";"0,0";"25,7";"30,0";"21,2";"20,0";"72";"1003";"2,2";"0,0";12
"85";"21,3";"27,1";"32,0";"23,7";"20,9";"71";"1001";"4,5";"21,3";12
"86";"0,0";"28,2";"32,5";"22,1";"22,3";"71";"998";"7,9";"0,0";12
"87";"14,1";"27,6";"32,3";"23,0";"22,9";"77";"998";"3,2";"14,1";12
"88";"1,5";"22,9";"26,0";"22,2";"21,5";"92";"997";"0,0";"1,5";13
"89";"0,0";"26,7";"31,0";"20,0";"21,2";"73";"1000";"9,5";"0,0";13
"90";"0,0";"27,8";"32,0";"21,5";"21,4";"69";"1002";"9,0";"0,0";13
"91";"0,0";"27,7";"31,5";"20,7";"20,6";"66";"1000";"10,2";"0,0";13
"92";"0,0";"27,5";"31,5";"20,8";"19,3";"62";"999";"9,6";"0,0";13
"93";"0,0";"26,9";"31,0";"20,8";"19,1";"64";"1001";"6,2";"0,0";13
"94";"0,0";"27,1";"30,0";"20,4";"17,4";"56";"1004";"10,0";"7,6";13
"95";"0,0";"24,8";"30,1";"18,0";"17,2";"65";"998";"s/d";"5,8";14
"96";"5,1";"22,8";"25,5";"21,4";"19,5";"82";"998";"0,0";"0,6";14
"97";"3,5";"26,4";"32,5";"22,6";"22,5";"80";"994";"6,2";"3,4";14
"98";"22,6";"23,7";"27,5";"23,4";"22,5";"93";"995";"0,2";"0,0";14
"99";"0,0";"25,5";"29,0";"19,2";"19,3";"70";"1000";"9,7";"3,6";14
"100";"0,6";"26,8";"32,0";"18,8";"21,9";"75";"995";"8,8";"7,3";14
"101";"0,0";"29,3";"34,0";"25,2";"23,4";"72";"994";"6,5";"s/d";14
"102";"25,5";"25,4";"33,5";"21,8";"23,2";"88";"995";"4,2";"s/d";15
"103";"0,0";"20,5";"23,5";"19,1";"17,7";"85";"994";"0,0";"0,8";15
"104";"0,0";"21,1";"25,5";"18,1";"16,4";"75";"1005";"4,2";"3,7";15
"105";"0,0";"21,9";"27,0";"16,4";"15,3";"68";"1007";"9,5";"4,2";15
"106";"0,0";"21,0";"27,5";"14,4";"sd";"s/d";"s/d";"9,6";"2,5";15
"107";"0,0";"23,5";"29,5";"17,5";"sd";"s/d";"s/d";"s/d";"5,0";15
"108";"37,5";"28,9";"33,5";"22,4";"23,9";"76";"999";"s/d";"s/d";15
"109";"0,0";"23,3";"26,5";"18,9";"21,1";"88";"1002";"0,8";"0,2";16
"110";"0,0";"22,3";"24,8";"20,6";"19,9";"87";"1001";"0,2";"1,7";16
"111";"2,2";"24,7";"27,8";"20,0";"20,6";"79";"1000";"1,6";"1,7";16
"112";"41,6";"23,8";"25,5";"22,1";"21,3";"96";"996";"0,0";"s/d";16
"113";"6,2";"19,0";"23,5";"17,8";"17,8";"93";"997";"0,2";"0,2";16
"114";"1,2";"19,7";"23,0";"17,7";"18,1";"91";"1000";"0,6";"3,7";16
"115";"0,0";"20,9";"26,5";"15,2";"16,4";"78";"1004";"9,2";"3,0";16
"116";"0,0";"22,4";"27,5";"16,8";"17,7";"76";"1002";"6,2";"2,3";17
"117";"0,0";"25,7";"30,5";"18,5";"20,0";"72";"999";"5,5";"3,3";17
"118";"11,5";"25,6";"30,1";"23,1";"22,1";"82";"989";"7,0";"4,5";17
"119";"0,0";"18,5";"22,0";"14,9";"10,3";"71";"1003";"9,3";"3,7";17
"120";"0,0";"17,0";"22,5";"9,2";"8,0";"57";"1009";"10,2";"2,6";17
"121";"0,0";"18,2";"24,5";"8,1";"9,1";"58";"1008";"9,4";"6,5";17
"122";"0,0";"19,5";"26,5";"8,4";"10,9";"62";"1008";"9,2";"5,0";17
"123";"0,0";"19,5";"24,0";"13,0";"14,8";"75";"1007";"3,3";"1,5";18
"125";"0,0";"19,5";"26,5";"17,1";"17,7";"90";"1006";"6,3";"0,3";18
"126";"0,0";"24,8";"28,3";"17,9";"18,2";"69";"1001";"7,5";"2,9";18
"127";"68,4";"25,3";"28,0";"20,6";"18,4";"90";"1001";"s/d";"s/d";18
"128";"0,1";"18,9";"21,5";"17,4";"17,7";"93";"1001";"s/d";"1,1";18
"129";"0,0";"20,5";"26,5";"15,0";"17,1";"84";"1002";"3,8";"7,0";18
"130";"0,0";"24,1";"29,0";"15,4";"20,4";"81";"999";"9,5";"6,0";18
"131";"0,0";"26,1";"30,2";"21,4";"19,6";"68";"998";"8,5";"3,5";19
"132";"15,1";"23,8";"29,5";"22,1";"19,2";"76";"997";"6,3";"2,4";19
"133";"0,0";"22,1";"26,5";"19,1";"18,3";"79";"1002";"4,2";"1,2";19
"134";"0,0";"22,7";"27,5";"17,8";"18,1";"76";"1003";"7,3";"1,1";19
"135";"0,0";"23,9";"27,0";"19,0";"20,7";"83";"1000";"0,8";"0,6";19
"136";"0,0";"26,5";"30,1";"22,2";"20,8";"72";"996";"8,2";"5,0";19
"137";"42,1";"24,5";"25,5";"23,5";"sd";"s/d";"s/d";"s/d";"s/d";19
"138";"0,0";"18,9";"21,9";"15,9";"16,1";"84";"1001";"0,8";"1,9";20
"139";"0,0";"19,8";"22,5";"17,1";"0,0";"0";"s/d";"6,0";"2,0";20
"140";"0,0";"19,7";"24,0";"13,8";"14,7";"74";"1002";"8,0";"2,5";20
"141";"10,4";"21,9";"24,8";"17,2";"19,1";"84";"998";"1,7";"0,8";20
"142";"8,7";"24,4";"29,0";"20,0";"22,4";"89";"991";"1,3";"1,8";20
"143";"0,0";"22,5";"24,0";"20,9";"16,8";"90";"995";"0,6";"5,0";20
"144";"0,0";"18,4";"23,5";"13,8";"13,3";"73";"1000";"8,5";"4,0";20
"145";"0,0";"18,3";"24,5";"12,4";"13,3";"75";"1003";"8,9";"2,1";21
"146";"2,0";"19,6";"24,0";"9,9";"16,0";"80";"1002";"6,0";"0,5";21
"147";"7,5";"23,3";"26,5";"15,6";"21,7";"91";"998";"0,7";"1,6";21
"148";"0,0";"27,2";"30,5";"21,0";"23,0";"78";"998";"4,2";"3,0";21
"149";"0,0";"26,9";"30,5";"25,4";"23,5";"82";"997";"2,0";"1,1";21
"150";"1,0";"27,5";"30,4";"24,6";"20,6";"86";"1001";"4,2";"3,1";21
"151";"0,8";"18,6";"19,9";"17,2";"16,2";"96";"1006";"0,0";"2,8";21
"152";"1,5";"15,8";"17,5";"14,8";"14,2";"90";"1007";"0,8";"0,1";22
"153";"3,1";"16,2";"17,1";"15,0";"15,3";"95";"1007";"0,0";"0,3";22
"154";"5,2";"16,6";"17,0";"16,1";"15,8";"98";"1005";"0,0";"0,4";22
"155";"2,0";"14,5";"17,0";"14,2";"13,4";"93";"1004";"0,0";"1,2";22
"156";"0,0";"13,0";"14,0";"11,6";"11,3";"89";"1005";"0,0";"0,7";22
"157";"0,0";"14,1";"15,0";"12,1";"12,0";"87";"1007";"0,0";"1,1";22
"158";"0,4";"18,4";"22,5";"11,4";"14,7";"80";"999";"2,7";"1,1";22
"159";"1,8";"21,6";"24,9";"15,6";"20,1";"91";"997";"0,0";"0,3";23
"160";"1,4";"20,2";"22,0";"18,4";"17,3";"96";"1000";"0,0";"0,5";23
"161";"1,0";"17,0";"19,5";"15,8";"16,3";"95";"1003";"0,0";"0,1";23
"162";"48,0";"17,6";"20,5";"16,0";"17,1";"97";"995";"0,0";"s/d";23
"163";"2,5";"16,6";"18,5";"14,6";"13,6";"92";"1001";"0,7";"1,1";23
"164";"0,0";"10,7";"17,5";"8,1";"6,0";"73";"1008";"7,7";"1,7";23
"165";"0,0";"12,7";"20,5";"4,9";"8,0";"78";"1006";"8,5";"1,4";23
"166";"0,0";"14,6";"23,0";"6,4";"10,2";"79";"1002";"8,5";"1,8";24
"167";"0,0";"16,3";"24,5";"8,0";"11,1";"76";"1002";"8,7";"1,3";24
"168";"0,0";"20,0";"24,5";"10,6";"17,0";"84";"1003";"4,9";"0,8";24
"169";"0,0";"19,6";"21,5";"15,9";"18,1";"92";"1005";"0,0";"0,8";24
"170";"0,0";"23,2";"27,0";"18,0";"18,3";"74";"1002";"5,5";"3,1";24
"171";"0,0";"25,2";"29,0";"19,4";"16,8";"60";"997";"8,7";"5,5";24
"172";"0,0";"24,4";"31,0";"21,4";"18,6";"70";"995";"8,5";"5,3";24
"173";"0,5";"22,0";"25,0";"19,0";"10,9";"68";"1002";"0,0";"4,1";25
"174";"0,0";"12,5";"15,0";"10,0";"4,6";"67";"1011";"6,7";"2,1";25
"175";"0,0";"11,8";"18,5";"5,1";"6,8";"75";"1009";"8,7";"1,4";25
"176";"0,0";"17,5";"23,0";"6,8";"14,7";"85";"1006";"5,4";"2,6";25
"177";"0,0";"23,4";"28,0";"12,6";"15,9";"64";"1000";"8,5";"4,3";25
"178";"0,0";"24,4";"29,5";"20,0";"14,7";"56";"1001";"8,5";"5,7";25
"179";"0,0";"25,1";"28,5";"20,4";"16,2";"58";"1004";"7,5";"4,0";25
"180";"0,0";"23,4";"28,5";"18,3";"14,5";"59";"1003";"8,5";"4,1";26
"181";"0,0";"24,0";"28,2";"19,3";"12,8";"50";"1002";"8,4";"5,0";26
"182";"0,0";"24,2";"29,5";"18,3";"14,6";"57";"1002";"8,5";"4,5";26
"183";"0,0";"23,5";"29,4";"19,4";"17,0";"69";"1005";"7,7";"3,3";26
"184";"0,0";"22,7";"28,7";"16,0";"17,0";"73";"1003";"8,0";"3,1";26
"185";"0,0";"18,9";"19,7";"18,0";"16,1";"88";"1009";"0,0";"1,2";26
"187";"0,0";"16,2";"18,4";"15,1";"13,6";"85";"1012";"0,0";"1,3";26
"188";"0,0";"16,9";"21,8";"11,2";"13,2";"80";"1012";"0,0";"0,6";27
"189";"0,0";"18,0";"21,6";"13,5";"11,7";"67";"1008";"0,5";"1,1";27
"190";"0,0";"19,7";"24,5";"14,8";"10,6";"56";"1006";"8,5";"4,4";27
"191";"0,0";"21,2";"24,9";"16,9";"11,7";"55";"1007";"5,4";"4,5";27
"192";"0,0";"22,3";"27,5";"18,2";"12,5";"55";"1006";"7,3";"3,6";27
"193";"0,0";"22,7";"28,6";"19,2";"13,6";"59";"1006";"5,7";"3,9";27
"194";"0,2";"22,3";"28,2";"15,6";"14,6";"63";"1006";"8,2";"1,3";27
"195";"0,8";"21,3";"25,6";"15,6";"16,4";"75";"1005";"4,4";"2,2";28
"196";"0,0";"23,4";"29,5";"17,4";"16,7";"68";"1007";"7,3";"3,0";28
"197";"0,0";"23,7";"30,5";"18,2";"17,2";"69";"1006";"8,7";"2,8";28
"198";"0,0";"23,4";"30,0";"15,5";"14,7";"61";"1006";"8,7";"3,9";28
"199";"0,0";"22,6";"29,5";"18,4";"13,5";"56";"1005";"8,7";"6,5";28
"200";"0,0";"25,9";"31,3";"16,4";"14,9";"51";"1000";"8,8";"6,9";28
"201";"0,0";"26,5";"31,5";"22,2";"12,5";"42";"994";"7,7";"10,3";28
"202";"1,3";"20,8";"26,0";"15,6";"8,7";"86";"1005";"0,0";"9,2";29
"203";"0,0";"9,7";"15,0";"7,4";"0,2";"54";"1019";"4,9";"1,5";29
"204";"0,0";"10,4";"17,0";"0,4";"-2,7";"42";"1017";"8,5";"0,4";29
"205";"0,0";"13,0";"19,0";"0,0";"2,0";"50";"1013";"8,6";"3,3";29
"206";"0,0";"17,5";"23,0";"2,8";"5,3";"46";"1007";"8,8";"1,9";29
"207";"0,0";"17,0";"24,5";"5,2";"7,4";"59";"1007";"8,7";"5,0";29
"208";"0,0";"23,5";"29,0";"7,6";"11,6";"49";"1002";"8,7";"4,2";29
"209";"0,0";"25,9";"32,0";"15,2";"10,4";"38";"998";"8,8";"9,0";30
"210";"0,0";"28,4";"33,2";"20,4";"11,4";"36";"1002";"8,8";"5,5";30
"211";"0,0";"26,2";"32,5";"19,1";"10,8";"40";"1005";"7,9";"5,2";30
"212";"0,0";"24,0";"32,0";"15,8";"10,7";"47";"1006";"7,9";"4,8";30
"213";"0,0";"24,0";"30,6";"14,5";"11,8";"50";"1005";"sd";"4,9";30
"214";"0,0";"23,5";"30,5";"17,3";"10,3";"46";"1004";"8,8";"6,0";30
"215";"0,0";"24,2";"31,2";"18,0";"11,7";"48";"1006";"9,0";"5,9";30
"216";"0,0";"25,1";"31,9";"20,0";"14,0";"53";"1006";"9,0";"9,0";31
"217";"0,0";"24,5";"30,5";"20,2";"15,1";"58";"1004";"8,2";"3,0";31
"218";"0,0";"25,8";"30,5";"19,2";"11,4";"42";"999";"4,2";"4,3";31
"219";"1,7";"21,0";"25,0";"17,0";"13,9";"90";"1003";"0,0";"0,1";31
"220";"0,0";"16,3";"19,0";"14,0";"12,6";"79";"1007";"3,2";"1,5";31
"221";"0,0";"18,6";"24,5";"9,8";"10,1";"60";"1009";"9,0";"2,5";31
"222";"0,0";"20,2";"27,0";"10,2";"11,7";"60";"1004";"9,2";"3,6";31
"223";"0,0";"22,4";"27,0";"16,2";"12,9";"56";"1002";"9,0";"4,3";32
"224";"0,0";"23,1";"28,5";"19,4";"13,2";"55";"997";"3,3";"3,4";32
"225";"0,0";"27,9";"33,5";"17,2";"15,4";"47";"998";"8,8";"4,9";32
"226";"0,0";"24,4";"30,5";"17,3";"12,0";"48";"998";"9,0";"4,8";32
"227";"0,0";"28,9";"36,2";"20,4";"16,9";"51";"993";"7,0";"7,0";32
"228";"0,0";"31,9";"37,0";"24,1";"13,6";"34";"989";"8,0";"9,0";32
"229";"35,6";"29,9";"31,2";"28,6";"17,5";"71";"991";"0,2";"s/d";32
"230";"0,0";"16,8";"19,0";"14,5";"12,9";"87";"1001";"2,0";"s/d";33
"231";"0,0";"18,1";"22,6";"9,0";"10,6";"64";"1003";"7,4";"2,0";33
"232";"0,0";"18,9";"26,0";"14,2";"14,5";"76";"1002";"9,4";"3,0";33
"233";"0,0";"22,4";"27,0";"17,9";"14,1";"62";"1004";"7,0";"4,4";33
"234";"0,0";"23,4";"28,0";"13,3";"13,5";"55";"1003";"7,5";"3,2";33
"235";"0,0";"22,2";"25,8";"17,6";"18,0";"77";"997";"5,3";"1,1";33
"236";"0,3";"24,8";"29,0";"20,4";"20,8";"79";"992";"4,5";"4,0";33
"237";"0,0";"16,5";"25,0";"13,6";"3,2";"44";"1010";"7,8";"6,0";34
"238";"0,0";"16,2";"21,6";"8,1";"2,3";"40";"1012";"9,5";"1,5";34
"239";"0,0";"20,1";"25,5";"8,4";"10,6";"56";"1002";"9,6";"8,0";34
"240";"0,0";"27,3";"32,5";"16,2";"16,3";"52";"996";"9,2";"7,5";34
"241";"0,0";"30,1";"35,5";"24,0";"16,5";"44";"996";"9,5";"9,0";34
"242";"0,0";"29,5";"35,0";"24,7";"13,6";"39";"997";"8,5";"9,0";34
"243";"0,0";"25,6";"34,5";"24,2";"18,0";"65";"995";"6,6";"6,0";34
"244";"1,3";"26,5";"32,5";"21,8";"17,9";"61";"996";"6,0";"3,6";35
"245";"0,0";"27,5";"36,0";"20,5";"17,3";"54";"994";"9,7";"5,2";35
"246";"0,0";"30,6";"36,8";"21,6";"15,2";"42";"996";"9,5";"8,0";35
"247";"0,0";"22,8";"27,5";"18,0";"9,8";"61";"1006";"7,0";"5,0";35
"248";"0,0";"18,8";"27,0";"10,6";"";NA;NA;"9,0";"3,0";35
"249";"0,0";"28,3";"33,1";"14,8";"16,3";"49";"1001";"9,3";"6,3";35
"250";"0,0";"29,9";"35,2";"24,4";"17,0";"47";"1005";"9,5";"9,2";35
"251";"0,0";"30,1";"36,0";"24,8";"16,4";"45";"1002";"8,2";"8,3";36
"252";"0,1";"26,9";"36,5";"25,2";"14,0";"51";"1001";"8,8";"6,3";36
"253";"0,2";"16,7";"18,5";"15,1";"15,0";"90";"1007";"s/d";"3,2";36
"254";"0,0";"22,9";"30,0";"15,3";"16,2";"69";"1000";"8,5";"5,2";36
"255";"0,0";"28,3";"35,0";"18,0";"12,1";"40";"999";"7,5";"5,3";36
"256";"0,0";"29,7";"35,0";"21,6";"13,2";"38";"995";"3,7";"6,1";36
"257";"0,7";"30,9";"36,0";"26,5";"14,7";"39";"993";"7,2";"7,9";36
"258";"1,8";"27,6";"38,2";"27,0";"15,1";"52";"995";"6,5";"8,4";37
"259";"0,0";"19,4";"24,5";"14,8";"12,3";"65";"1004";"9,0";"5,0";37
"260";"0,0";"22,1";"27,5";"15,9";"15,2";"66";"1003";"6,5";"4,2";37
"261";"0,0";"25,0";"32,5";"17,1";"18,7";"69";"998";"8,2";"4,9";37
"262";"9,8";"18,6";"24,0";"18,5";"15,0";"80";"1000";"0,8";"1,8";37
"263";"9,3";"17,3";"20,0";"17,3";"15,9";"91";"1007";"0,0";"s/d";37
"264";"0,1";"16,8";"20,3";"15,2";"13,8";"84";"1010";"1,4";"s/d";37
"265";"0,0";"19,2";"25,5";"14,0";"13,7";"72";"1009";"10,2";"3,6";38
"266";"0,0";"21,6";"27,5";"13,4";"14,2";"66";"1004";"9,5";"3,5";38
"267";"0,0";"28,1";"35,5";"15,0";"17,2";"54";"1001";"9,5";"5,8";38
"268";"0,0";"31,1";"37,0";"18,8";"15,0";"41";"999";"9,8";"8,0";38
"269";"0,0";"28,6";"36,0";"21,2";"14,1";"45";"1001";"6,8";"6,8";38
"270";"0,0";"18,5";"21,0";"17,6";"16,2";"87";"1003";"0,2";"1,8";38
"271";"1,9";"18,1";"20,2";"16,4";"15,6";"86";"1005";"0,0";"0,5";38
"272";"0,0";"23,0";"28,9";"16,4";"18,5";"78";"1001";"3,2";"2,8";39
"273";"0,0";"28,2";"32,5";"18,7";"18,1";"55";"1002";"7,3";"4,7";39
"274";"0,0";"28,2";"34,5";"19,2";"16,5";"52";"999";"9,9";"6,3";39
"275";"0,2";"28,0";"33,5";"20,9";"16,4";"52";"999";"4,3";"5,8";39
"276";"2,4";"21,1";"25,0";"20,2";"18,0";"83";"1002";"0,8";"1,5";39
"277";"0,0";"22,9";"26,2";"19,2";"19,3";"81";"1000";"2,2";"3,0";39
"278";"0,0";"26,3";"30,5";"18,6";"19,0";"65";"991";"7,8";"4,0";39
"280";"7,7";"22,6";"32,0";"21,2";"17,8";"75";"984";"2,2";"5,5";40
"281";"0,0";"18,6";"25,0";"15,2";"8,8";"57";"997";"9,7";"5,0";40
"282";"0,0";"22,0";"29,5";"11,4";"8,6";"47";"1004";"10,3";"5,4";40
"283";"0,0";"24,5";"30,0";"12,4";"8,6";"38";"1000";"10,5";"8,7";40
"284";"0,0";"29,7";"35,5";"20,1";"14,4";"40";"991";"7,7";"7,5";40
"285";"37,0";"30,1";"37,2";"24,4";"20,9";"62";"995";"8,4";"s/d";40
"286";"5,4";"22,5";"27,0";"19,4";"19,7";"84";"999";"1,0";"0,0";40
"287";"44,1";"27,3";"31,9";"21,4";"21,1";"70";"994";"8,7";"s/d";41
"288";"8,8";"23,9";"26,8";"21,6";"21,3";"86";"995";"3,0";"0,8";41
"289";"0,0";"28,1";"33,0";"21,3";"23,3";"76";"992";"7,0";"4,5";41
"290";"0,0";"31,8";"37,8";"23,2";"22,4";"59";"992";"9,3";"5,2";41
"291";"4,0";"24,7";"29,5";"24,0";"22,0";"86";"995";"4,0";"5,1";41
"292";"5,0";"19,8";"23,5";"16,0";"14,9";"93";"1005";"0,0";"1,6";41
"293";"0,0";"17,5";"21,2";"15,4";"13,5";"78";"1006";"1,0";"0,9";41
"294";"0,0";"21,5";"25,5";"12,8";"13,0";"61";"1004";"8,7";"3,0";42
"295";"0,0";"28,7";"33,8";"17,2";"19,6";"59";"999";"9,6";"7,5";42
"296";"0,0";"30,2";"34,5";"24,4";"20,3";"56";"996";"7,2";"8,8";42
"297";"0,4";"30,1";"37,5";"27,9";"21,1";"59";"995";"10,2";"9,0";42
"298";"1,4";"22,4";"30,0";"21,6";"17,5";"75";"1001";"1,0";"2,7";42
"299";"0,0";"25,5";"29,5";"19,1";"19,3";"69";"996";"5,2";"3,7";42
"300";"17,5";"26,5";"32,8";"23,2";"21,5";"76";"997";"5,4";"5,6";42
"301";"0,0";"19,9";"24,0";"17,8";"9,7";"56";"1005";"9,9";"6,9";43
"302";"0,0";"21,2";"27,5";"12,2";"8,2";"46";"1002";"11,2";"5,0";43
